otu,SRR8314055_report_16,SRR8314055_report_8,SRR8314063_report_16,SRR8314063_report_8,SRR8314065_report_16,SRR8314065_report_8,SRR8314069_report_16,SRR8314069_report_8,SRR8314071_report_16,SRR8314071_report_8,SRR8314102_report_16,SRR8314102_report_8,SRR8314104_report_16,SRR8314104_report_8,SRR8314120_report_16,SRR8314120_report_8,SRR8314122_report_16,SRR8314122_report_8,SRR8314126_report_16,SRR8314126_report_8,SRR8314128_report_16,SRR8314128_report_8,SRR8314134_report_16,SRR8314134_report_8,SRR8314146_report_16,SRR8314146_report_8,SRR8314152_report_16,SRR8314152_report_8,SRR8314154_report_16,SRR8314154_report_8,SRR8314210_report_16,SRR8314210_report_8,SRR8314211_report_16,SRR8314211_report_8,SRR8314215_report_16,SRR8314215_report_8,SRR8314217_report_16,SRR8314217_report_8,SRR8314222_report_16,SRR8314222_report_8,SRR8314225_report_16,SRR8314225_report_8,SRR8314227_report_16,SRR8314227_report_8,SRR8314229_report_16,SRR8314229_report_8,SRR8314230_report_16,SRR8314230_report_8,SRR8314231_report_16,SRR8314231_report_8,SRR8314233_report_16,SRR8314233_report_8,SRR8314234_report_16,SRR8314234_report_8,SRR8314274_report_16,SRR8314274_report_8,SRR8314276_report_16,SRR8314276_report_8,SRR8314282_report_16,SRR8314282_report_8,SRR8314286_report_16,SRR8314286_report_8,SRR8314290_report_16,SRR8314290_report_8,SRR8314300_report_16,SRR8314300_report_8,SRR8314302_report_16,SRR8314302_report_8,SRR8314306_report_16,SRR8314306_report_8,SRR8314308_report_16,SRR8314308_report_8,SRR8314312_report_16,SRR8314312_report_8,SRR8314314_report_16,SRR8314314_report_8,SRR8314316_report_16,SRR8314316_report_8,SRR8314347_report_16,SRR8314347_report_8,SRR8314353_report_16,SRR8314353_report_8,SRR8314357_report_16,SRR8314357_report_8,SRR8314359_report_16,SRR8314359_report_8,SRR8314373_report_16,SRR8314373_report_8,SRR8314375_report_16,SRR8314375_report_8,SRR8314377_report_16,SRR8314377_report_8,SRR8314379_report_16,SRR8314379_report_8,SRR8314391_report_16,SRR8314391_report_8,SRR8314393_report_16,SRR8314393_report_8,SRR8314395_report_16,SRR8314395_report_8,SRR8314397_report_16,SRR8314397_report_8,SRR8314475_report_16,SRR8314475_report_8,SRR8314477_report_16,SRR8314477_report_8,SRR8314487_report_16,SRR8314487_report_8,SRR8314491_report_16,SRR8314491_report_8,SRR8314495_report_16,SRR8314495_report_8,SRR8314534_report_16,SRR8314534_report_8,SRR8314540_report_16,SRR8314540_report_8,SRR8314544_report_16,SRR8314544_report_8,SRR8314550_report_16,SRR8314550_report_8,SRR8314554_report_16,SRR8314554_report_8,SRR8314562_report_16,SRR8314562_report_8,SRR8314566_report_16,SRR8314566_report_8,SRR8314570_report_16,SRR8314570_report_8,SRR8314592_report_16,SRR8314592_report_8,SRR8314594_report_16,SRR8314594_report_8,SRR8314600_report_16,SRR8314600_report_8,SRR8314606_report_16,SRR8314606_report_8,SRR8314608_report_16,SRR8314608_report_8,SRR8314610_report_16,SRR8314610_report_8,SRR8314612_report_16,SRR8314612_report_8,SRR8314616_report_16,SRR8314616_report_8,SRR8314620_report_16,SRR8314620_report_8,SRR8314622_report_16,SRR8314622_report_8,SRR8314628_report_16,SRR8314628_report_8,SRR8314630_report_16,SRR8314630_report_8,SRR8314632_report_16,SRR8314632_report_8,SRR8314635_report_16,SRR8314635_report_8,SRR8314644_report_16,SRR8314644_report_8,SRR8314650_report_16,SRR8314650_report_8,SRR8314703_report_16,SRR8314703_report_8,SRR8314705_report_16,SRR8314705_report_8,SRR8314709_report_16,SRR8314709_report_8,SRR8314717_report_16,SRR8314717_report_8,SRR8314719_report_16,SRR8314719_report_8,SRR8314721_report_16,SRR8314721_report_8,SRR8314723_report_16,SRR8314723_report_8,SRR8314725_report_16,SRR8314725_report_8,SRR8314733_report_16,SRR8314733_report_8,SRR8314736_report_16,SRR8314736_report_8,SRR8314738_report_16,SRR8314738_report_8,SRR8314746_report_16,SRR8314746_report_8,SRR8314748_report_16,SRR8314748_report_8,SRR8314756_report_16,SRR8314756_report_8,SRR8314758_report_16,SRR8314758_report_8,SRR8314762_report_16,SRR8314762_report_8,SRR8314764_report_16,SRR8314764_report_8,SRR8314766_report_16,SRR8314766_report_8,SRR8314769_report_16,SRR8314769_report_8,SRR8314773_report_16,SRR8314773_report_8,SRR8314775_report_16,SRR8314775_report_8,SRR8314808_report_16,SRR8314808_report_8,SRR8314814_report_16,SRR8314814_report_8,SRR8314815_report_16,SRR8314815_report_8,SRR8314817_report_16,SRR8314817_report_8,SRR8314819_report_16,SRR8314819_report_8
Sellimonas,4,4,0,0,2,0,0,0,5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,2,0,7,0,12,1,4,0,19,0,0,0,3,0,99,61,0,0,0,0,0,0,0,0,5,0,3,0,1,1,27,19,8,0,5,0,3,1,2,0,1,0,1,0,4,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,5,0,4,2,4,1,4,2,0,0,2,1,0,0,3,2,2,2,0,0,0,0,0,0,2,0,0,0,42,23,107,62,0,0,1,0,1,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,77,1,0,0,0,0,0,0,2,1,2,0,0,0,2,0,1,0,1,0,3,0,0,0,14,2,32,21,50,35,0,0,1,0,0,0,0,0,0,0
Lachnoclostridium,3,2,0,0,0,0,0,0,8,8,0,0,2,2,0,0,1,1,0,0,0,0,1,1,0,0,6,5,3,3,6,8,0,0,1,1,1,0,0,0,3,2,0,0,0,0,0,0,1,1,4,3,1,1,10,10,0,0,5,2,20,4,5,1,15,3,52,17,1,0,20,1,25,26,0,0,0,0,2,3,0,0,50,19,3,1,3,2,5,5,28,5,7,1,20,3,7,4,1,0,4,3,100,46,24,15,1,5,10,12,16,14,16,13,0,0,0,0,8,6,5,2,6,2,2,0,6,0,0,0,0,0,4,4,4,3,9,7,1,0,0,0,1,0,2,0,0,0,49,6,133,27,0,0,4,3,6,2,1,1,0,0,0,0,0,0,12,1,10,4,0,0,38,8,0,0,0,0,8,8,15,12,3,3,1,1,13,7,11,9,8,2,18,9,20,12,105,82,4,4,12,13,0,0,4,1,1,0,0,1,6,5
Butyrivibrio,2,2,1,1,0,0,1,0,0,0,6,3,1,1,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,6,2,9,9,35,1,0,0,6,6,42,10,25,14,21,8,28,2,2,0,8,2,16,12,3,1,2,0,0,0,3,1,160,115,3,0,2,0,2,0,14,3,4,0,28,20,3,2,0,0,2,2,90,16,15,6,0,0,1,1,2,0,18,10,0,0,0,0,3,3,2,0,3,2,3,2,6,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,3,1,0,0,55,0,152,3,2,0,9,3,6,2,0,0,1,1,0,0,5,0,5,5,3,1,0,0,55,48,1,0,1,1,3,3,15,12,8,3,1,0,31,21,10,1,20,15,53,32,2,0,186,165,5,1,1,0,0,0,9,5,11,9,0,0,0,0
Coprococcus,2,0,0,0,0,0,1,0,0,0,4,3,11,7,0,0,0,0,0,0,0,0,4,2,11,9,1,1,0,0,1,0,0,0,0,0,2,1,0,0,45,36,0,0,0,0,0,2,0,0,6,4,8,6,1,1,0,0,1,1,76,49,37,20,39,23,57,17,7,7,39,22,24,0,6,4,7,4,0,0,2,0,210,136,12,6,0,0,2,2,49,34,60,31,57,29,36,16,10,8,15,7,99,58,27,14,1,0,62,40,55,42,10,3,0,0,0,0,6,4,35,20,29,19,16,11,24,12,0,0,0,0,3,0,4,1,21,12,3,2,0,0,0,0,18,12,0,0,3,2,13,5,3,3,39,15,14,11,15,11,7,6,0,0,24,13,72,38,3,1,3,2,212,107,0,0,6,0,5,3,34,21,38,18,2,2,19,9,6,4,62,28,185,124,18,7,69,33,3,1,1,1,0,0,109,66,36,20,9,7,3,3
Chakrabartyella,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,17,2,1,2,0,47,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,1,0,0,0,0,0,3,1,51,39,0,0,0,0,0,0,3,2,0,0,0,0,16,13,36,18,12,8,0,0,0,0,6,6,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5,0,0,9,4,14,5,0,0,4,0,2,0,0,0,0,0,0,0,3,2,0,0,8,2,1,0,1,0,0,0,1,0,1,0,3,2,22,15,6,2,16,7,1,0,2,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,1,1,0,0,0,0
Candidatus Epulonipiscium,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Pseudobutyrivibrio,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,2,0,0,0,0,0,5,0,3,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,1,2,2,3,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,19,16,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Clostridium,73,62,0,0,2,2,0,0,2,1,12,9,16,11,0,0,2,1,0,0,0,0,3,3,1,0,3,1,1,0,1,0,1,1,0,0,4,1,3,3,2791,1013,0,0,1,0,4,4,2,1,3,3,0,0,306,236,3,3,27,16,88,62,25,13,24,21,74,75,1,0,24,21,12,12,2,1,6,2,4,1,12,5,178,114,12,7,0,0,42,19,29,31,14,7,83,55,14,6,19,13,11,10,143,131,35,28,48,29,6,6,7,6,16,15,0,0,1,0,5,4,209,138,11,5,3,4,14,10,0,0,0,0,32,23,4,2,3,0,2,2,0,0,2,2,6,3,0,0,86,61,246,213,3,2,14,5,18,13,3,2,1,0,1,0,4,5,11,10,6,6,0,0,68,41,0,0,4,4,7,7,22,15,25,14,5,2,38,33,21,11,47,18,144,50,16,14,177,71,7,6,15,9,9,7,36,26,25,15,5,3,0,0
Hungatella,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,63,49,0,0,7,3,20,11,8,1,14,10,12,7,14,8,56,29,21,21,0,2,1,1,0,0,1,0,54,35,1,1,0,0,1,1,5,1,7,5,21,9,4,3,0,0,8,7,8,5,4,4,2,2,2,2,4,3,3,0,0,0,0,0,2,3,12,12,19,12,1,1,6,0,0,0,0,0,4,1,5,3,5,5,3,0,0,0,0,0,8,2,0,0,3,0,7,2,4,2,1,1,2,0,0,0,0,0,0,0,1,1,21,8,4,0,3,0,81,41,1,1,1,0,1,0,4,1,5,3,6,6,19,10,7,6,21,10,21,13,8,5,253,131,27,13,23,5,0,0,3,0,4,4,0,0,1,1
Flavonifractor,68,43,1,1,2,2,2,1,29,24,1,1,5,5,0,0,1,1,0,0,1,1,0,0,0,0,9,7,7,4,3,2,0,0,2,2,2,2,0,0,9,7,0,0,0,0,7,5,10,8,5,4,9,6,190,157,0,0,4,2,72,62,19,13,46,34,1,1,5,4,25,20,26,21,1,1,0,0,0,0,0,0,37,33,1,0,0,0,34,27,3,2,0,0,25,15,18,17,17,12,1,1,307,244,60,38,30,24,8,8,14,10,1,0,0,0,0,0,5,5,10,7,13,4,0,0,1,1,0,0,43,38,12,10,7,6,21,16,0,0,0,0,0,0,4,1,2,2,85,68,109,88,2,2,8,7,6,6,0,0,1,1,0,0,0,0,2,2,0,0,0,0,12,9,0,0,6,5,0,0,6,1,15,5,1,0,48,32,0,0,16,12,90,70,14,10,4,4,107,63,111,76,0,0,16,12,7,6,0,0,12,15
