name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Blautia	572511	G	34	1	35	0.01579
Dorea	189330	G	33	2	35	0.01579
Mediterraneibacter	2316020	G	21	0	21	0.00948
Roseburia	841	G	19	174	193	0.08709
Simiaoa	2944193	G	16	0	16	0.00722
Anaerobutyricum	2569097	G	14	0	14	0.00632
Coprococcus	33042	G	11	0	11	0.00496
Agathobacter	1766253	G	7	0	7	0.00316
Butyrivibrio	830	G	2	0	2	0.00090
Marvinbryantia	248744	G	1	0	1	0.00045
Qiania	2944195	G	1	0	1	0.00045
Wansuia	2944198	G	1	0	1	0.00045
Anaerostipes	207244	G	1	0	1	0.00045
Vallitalea	1348611	G	1	0	1	0.00045
Anaerotignum	2039240	G	1	0	1	0.00045
Faecalibacterium	216851	G	94	13	107	0.04829
Subdoligranulum	292632	G	23	4	27	0.01218
Vescimonas	2892396	G	6	6	12	0.00542
Ruminococcus	1263	G	3	0	3	0.00135
Ruthenibacterium	1905344	G	1	0	1	0.00045
Lawsonibacter	2172004	G	1	1	2	0.00090
Caproicibacter	2576755	G	1	1	2	0.00090
Flintibacter	1918454	G	1	0	1	0.00045
Massilistercora	2717089	G	1	0	1	0.00045
Clostridium	1485	G	1	0	1	0.00045
Hungatella	1649459	G	1	0	1	0.00045
Eubacterium	1730	G	1	0	1	0.00045
Maliibacterium	3047433	G	1	0	1	0.00045
Aristaeella	3046369	G	1	0	1	0.00045
Romboutsia	1501226	G	2	0	2	0.00090
Monoglobus	2039302	G	1	0	1	0.00045
Staphylococcus	1279	G	10	67	77	0.03475
Bacillus	1386	G	2	66	68	0.03069
Salicibibacter	2685905	G	1	0	1	0.00045
Niallia	2837506	G	1	0	1	0.00045
Alicyclobacillus	29330	G	1	0	1	0.00045
Lacticaseibacillus	2759736	G	11	0	11	0.00496
Streptococcus	1301	G	3	0	3	0.00135
Faecalibacillus	2678885	G	5	0	5	0.00226
Thomasclavelia	3025755	G	1	0	1	0.00045
Phascolarctobacterium	33024	G	2	0	2	0.00090
Mycobacterium	1763	G	121	15	136	0.06137
Corynebacterium	1716	G	1	0	1	0.00045
Rothia	32207	G	2	2	4	0.00181
Microterricola	518733	G	1	0	1	0.00045
Microbacterium	33882	G	1	0	1	0.00045
Janibacter	53457	G	1	0	1	0.00045
Cutibacterium	1912216	G	5	0	5	0.00226
Nocardioides	1839	G	1	0	1	0.00045
Streptomyces	1883	G	1	0	1	0.00045
Gloeothece	28070	G	1	0	1	0.00045
Acaryochloris	155977	G	3	0	3	0.00135
Anthocerotibacter	2857076	G	2	18	20	0.00903
Alistipes	239759	G	52	3	55	0.02482
Phocaeicola	909656	G	24	6	30	0.01354
Bacteroides	816	G	19	1	20	0.00903
Butyricimonas	574697	G	20	2	22	0.00993
Odoribacter	283168	G	18	1	19	0.00857
Parabacteroides	375288	G	23	6	29	0.01309
Muribaculum	1918540	G	2	0	2	0.00090
Duncaniella	2518495	G	2	0	2	0.00090
Paramuribaculum	2518497	G	1	1	2	0.00090
Sodaliphilus	2815786	G	1	0	1	0.00045
Prevotella	838	G	1	0	1	0.00045
Segatella	2974251	G	1	0	1	0.00045
Flavobacterium	237	G	1	0	1	0.00045
Pedobacter	84567	G	1	0	1	0.00045
Melioribacter	1134403	G	1	0	1	0.00045
Klebsiella	570	G	11	34	45	0.02031
Enterobacter	547	G	3	15	18	0.00812
Salmonella	590	G	2	985	987	0.44540
Pseudomonas	286	G	5	7	12	0.00542
Stenotrophomonas	40323	G	3	0	3	0.00135
Moraxella	475	G	1	0	1	0.00045
Acidovorax	12916	G	2	2	4	0.00181
Paracidovorax	3051137	G	1	3	4	0.00181
Cupriavidus	106589	G	2	2	4	0.00181
Polynucleobacter	44013	G	1	0	1	0.00045
Janthinobacterium	29580	G	1	2	3	0.00135
Turicimonas	1918598	G	1	0	1	0.00045
Caldimonas	196013	G	1	1	2	0.00090
Novosphingobium	165696	G	1	0	1	0.00045
Caulobacter	75	G	1	1	2	0.00090
Asticcacaulis	76890	G	1	0	1	0.00045
Methylobacterium	407	G	1	0	1	0.00045
Luteithermobacter	2813803	G	1	0	1	0.00045
Acidithiobacillus	119977	G	1	0	1	0.00045
Akkermansia	239934	G	27	0	27	0.01218
Bdellovibrio	958	G	3	0	3	0.00135
Thermodesulfatator	241192	G	1	0	1	0.00045
Desulfarculus	453229	G	1	0	1	0.00045
Fusobacterium	848	G	2	0	2	0.00090
Mesotoga	1184396	G	1	0	1	0.00045
Homo	9605	G	29	1	30	0.01354
Gammaretrovirus	153135	G	1	0	1	0.00045
