name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Acidocella	50709	G	1	1	2	0.00067
Defluviicoccus	111830	G	1	1	2	0.00067
Sphingomonas	13687	G	1	0	1	0.00034
Erythrobacter	1041	G	1	5	6	0.00202
Asticcacaulis	76890	G	1	0	1	0.00034
Cupriavidus	106589	G	2	0	2	0.00067
Paraburkholderia	1822464	G	1	0	1	0.00034
Janthinobacterium	29580	G	2	3	5	0.00168
Polaromonas	52972	G	1	4	5	0.00168
Caldimonas	196013	G	2	7	9	0.00303
Achromobacter	222	G	1	0	1	0.00034
Prevotella	838	G	9	3	12	0.00404
Hoylesella	2974257	G	5	19	24	0.00809
Segatella	2974251	G	3	0	3	0.00101
Xylanibacter	558436	G	2	1	3	0.00101
Phocaeicola	909656	G	18	11	29	0.00977
Bacteroides	816	G	15	3	18	0.00606
Parabacteroides	375288	G	9	3	12	0.00404
Tannerella	195950	G	1	0	1	0.00034
Odoribacter	283168	G	5	1	6	0.00202
Butyricimonas	574697	G	2	0	2	0.00067
Alistipes	239759	G	3	0	3	0.00101
Acetobacteroides	1647173	G	1	0	1	0.00034
Hymenobacter	89966	G	1	0	1	0.00034
Aureibacter	1097443	G	1	0	1	0.00034
Spirosoma	107	G	1	0	1	0.00034
Mucilaginibacter	423349	G	1	0	1	0.00034
Terriglobus	392733	G	4	4	8	0.00270
Alloacidobacterium	2951993	G	2	2	4	0.00135
Acidisarcina	2608728	G	1	4	5	0.00168
Sulfidibacter	2915177	G	1	0	1	0.00034
Aquisphaera	1511635	G	2	0	2	0.00067
Tautonia	2680020	G	2	0	2	0.00067
Humisphaera	2807511	G	2	0	2	0.00067
Verrucomicrobium	2735	G	2	2	4	0.00135
Candidatus Xiphinematobacter	134550	G	1	0	1	0.00034
Labilithrix	1524217	G	2	1	3	0.00101
Archangium	47	G	2	0	2	0.00067
Fusobacterium	848	G	5	0	5	0.00168
Bdellovibrio	958	G	3	0	3	0.00101
Bacteriovorax	146784	G	1	0	1	0.00034
Coprothermobacter	68335	G	1	0	1	0.00034
Mailhella	1981028	G	1	0	1	0.00034
Homo	9605	G	14	6	20	0.00674
