name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Enterocloster	2719313	G	23	4	27	0.00910
Blautia	572511	G	14	13	27	0.00910
Mediterraneibacter	2316020	G	11	6	17	0.00573
Roseburia	841	G	8	2	10	0.00337
Lachnoclostridium	1506553	G	6	1	7	0.00236
Anaerobutyricum	2569097	G	5	2	7	0.00236
Dorea	189330	G	2	1	3	0.00101
Wansuia	2944198	G	2	0	2	0.00067
Anaerostipes	207244	G	1	0	1	0.00034
Coprococcus	33042	G	1	0	1	0.00034
Agathobacter	1766253	G	1	0	1	0.00034
Flavonifractor	946234	G	9	5	14	0.00472
Caproicibacterium	2834348	G	2	4	6	0.00202
Ruminococcus	1263	G	2	0	2	0.00067
Ethanoligenens	253238	G	1	0	1	0.00034
Clostridium	1485	G	3	0	3	0.00101
Hungatella	1649459	G	1	0	1	0.00034
Acutalibacter	1918385	G	1	0	1	0.00034
Staphylococcus	1279	G	9	701	710	0.23922
Bacillus	1386	G	3	43	46	0.01550
Paenibacillus	44249	G	2	0	2	0.00067
Gemella	1378	G	1	0	1	0.00034
Streptococcus	1301	G	6	0	6	0.00202
Lacticaseibacillus	2759736	G	2	0	2	0.00067
Megasphaera	906	G	15	1	16	0.00539
Acidaminococcus	904	G	3	0	3	0.00101
Phascolarctobacterium	33024	G	1	0	1	0.00034
Longicatena	1918536	G	14	9	23	0.00775
Mycobacterium	1763	G	54	27	81	0.02729
Mycolicibacterium	1866885	G	2	0	2	0.00067
Mycobacteroides	670516	G	1	0	1	0.00034
Cutibacterium	1912216	G	11	1	12	0.00404
Nocardioides	1839	G	2	0	2	0.00067
Friedmanniella	53387	G	1	0	1	0.00034
Microbacterium	33882	G	1	2	3	0.00101
Schaalia	2529408	G	1	1	2	0.00067
Kibdelosporangium	2029	G	1	0	1	0.00034
Stackebrandtia	283810	G	1	0	1	0.00034
Collinsella	102106	G	2	0	2	0.00067
Ilumatobacter	682522	G	1	0	1	0.00034
Rubrobacter	42255	G	1	0	1	0.00034
Nostoc	1177	G	3	0	3	0.00101
Gloeocapsa	102231	G	3	6	9	0.00303
Gloeothece	28070	G	1	0	1	0.00034
Oscillatoria	1158	G	1	0	1	0.00034
Limnospira	2596745	G	1	5	6	0.00202
Anthocerotibacter	2857076	G	2	0	2	0.00067
Acaryochloris	155977	G	2	0	2	0.00067
Trichothermofontia	3045815	G	1	1	2	0.00067
Geitlerinema	63132	G	1	7	8	0.00270
Klebsiella	570	G	3	374	377	0.12702
Enterobacter	547	G	2	111	113	0.03807
Escherichia	561	G	1	203	204	0.06873
Citrobacter	544	G	1	16	17	0.00573
Salmonella	590	G	1	825	826	0.27830
Pantoea	53335	G	1	0	1	0.00034
Mixta	2100764	G	1	0	1	0.00034
Morganella	581	G	1	1	2	0.00067
Pseudomonas	286	G	4	51	55	0.01853
Steroidobacter	469322	G	3	0	3	0.00101
Stenotrophomonas	40323	G	2	1	3	0.00101
Flagellatimonas	2893022	G	1	0	1	0.00034
Tolumonas	43947	G	1	0	1	0.00034
Halomonas	2745	G	1	0	1	0.00034
Moraxella	475	G	1	0	1	0.00034
Bradyrhizobium	374	G	1	1	2	0.00067
Tardiphaga	1395974	G	1	0	1	0.00034
Methylocella	120652	G	1	0	1	0.00034
Methylocapsa	184923	G	1	0	1	0.00034
Brucella	234	G	1	1	2	0.00067
Nordella	169055	G	1	1	2	0.00067
Methylobacterium	407	G	1	2	3	0.00101
Phreatobacter	1632780	G	1	2	3	0.00101
Roseomonas	125216	G	2	1	3	0.00101
Acetobacter	434	G	1	3	4	0.00135
