name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Candidatus Sulfidibacterium	2923290	G	1	0	1	0.00020
Saprospira	1007	G	1	0	1	0.00020
Terriglobus	392733	G	6	9	15	0.00303
Paludibaculum	1649475	G	2	0	2	0.00040
Luteitalea	2004797	G	1	0	1	0.00020
Bdellovibrio	958	G	12	1	13	0.00263
Sorangium	39643	G	2	3	5	0.00101
Nannocystis	53	G	1	1	2	0.00040
Symmachiella	2795780	G	2	0	2	0.00040
Poriferisphaera	2803301	G	2	0	2	0.00040
Humisphaera	2807511	G	1	0	1	0.00020
Simkania	34093	G	1	0	1	0.00020
Flexistipes	2351	G	5	0	5	0.00101
Desulfohalobium	45662	G	1	1	2	0.00040
Elusimicrobium	423604	G	2	1	3	0.00061
Defluviitoga	1511648	G	2	0	2	0.00040
Caldithrix	187144	G	1	0	1	0.00020
Borreliella	64895	G	1	0	1	0.00020
Campylobacter	194	G	1	0	1	0.00020
Homo	9605	G	13	0	13	0.00263
Methanomethylovorans	101191	G	1	0	1	0.00020
Methanothrix	2222	G	1	1	2	0.00040
Halosegnis	2841540	G	1	0	1	0.00020
