name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas	286	G	289	399	688	0.13893
Stenotrophomonas	40323	G	167	27	194	0.03918
Enterobacter	547	G	8	33	41	0.00828
Klebsiella	570	G	4	22	26	0.00525
Escherichia	561	G	3	2123	2126	0.42932
Citrobacter	544	G	1	1	2	0.00040
Cronobacter	413496	G	1	0	1	0.00020
Proteus	583	G	6	1	7	0.00141
Xenorhabdus	626	G	1	0	1	0.00020
Serratia	613	G	1	0	1	0.00020
Acinetobacter	469	G	4	2	6	0.00121
Moraxella	475	G	1	0	1	0.00020
Psychrobacter	497	G	1	0	1	0.00020
Flagellatimonas	2893022	G	6	2	8	0.00162
Microbulbifer	48073	G	5	2	7	0.00141
Steroidobacter	469322	G	3	0	3	0.00061
Aeromonas	642	G	3	1	4	0.00081
Thiocapsa	1056	G	1	0	1	0.00020
Wenzhouxiangella	1676142	G	1	0	1	0.00020
Methylobacter	429	G	2	0	2	0.00040
Halomonas	2745	G	2	0	2	0.00040
Idiomarina	135575	G	1	0	1	0.00020
Salinisphaera	180541	G	1	0	1	0.00020
Pasteurella	745	G	1	0	1	0.00020
Vibrio	662	G	1	16	17	0.00343
Candidatus Palibaumannia	198346	G	1	0	1	0.00020
Novosphingobium	165696	G	12	27	39	0.00788
Sphingomonas	13687	G	5	2	7	0.00141
Croceicoccus	1295327	G	1	12	13	0.00263
Rhizobium	379	G	28	38	66	0.01333
Methylobacterium	407	G	1	0	1	0.00020
Bosea	85413	G	1	0	1	0.00020
Asticcacaulis	76890	G	3	0	3	0.00061
Sulfitobacter	60136	G	1	0	1	0.00020
Duganella	75654	G	1	17	18	0.00363
Janthinobacterium	29580	G	5	0	5	0.00101
Herbaspirillum	963	G	1	11	12	0.00242
Collimonas	202907	G	1	0	1	0.00020
Undibacterium	401469	G	1	2	3	0.00061
Cupriavidus	106589	G	8	12	20	0.00404
Burkholderia	32008	G	1	3	4	0.00081
Pandoraea	93217	G	1	2	3	0.00061
Comamonas	283	G	1	7	8	0.00162
Caldimonas	196013	G	2	9	11	0.00222
Xylophilus	54066	G	1	0	1	0.00020
Sulfuricystis	3050898	G	1	0	1	0.00020
Mediterraneibacter	2316020	G	33	2	35	0.00707
Blautia	572511	G	33	3	36	0.00727
Enterocloster	2719313	G	29	0	29	0.00586
Anaerostipes	207244	G	19	1	20	0.00404
Roseburia	841	G	10	133	143	0.02888
Lachnoclostridium	1506553	G	6	0	6	0.00121
Anaerobutyricum	2569097	G	4	0	4	0.00081
Lacrimispora	2719231	G	3	0	3	0.00061
Sellimonas	1769710	G	3	0	3	0.00061
Chakrabartyella	3088373	G	2	0	2	0.00040
Butyrivibrio	830	G	2	0	2	0.00040
Simiaoa	2944193	G	2	0	2	0.00040
Dorea	189330	G	2	0	2	0.00040
Agathobacter	1766253	G	1	0	1	0.00020
Chordicoccus	3031933	G	1	0	1	0.00020
Coprococcus	33042	G	1	0	1	0.00020
Lachnospira	28050	G	1	0	1	0.00020
Novisyntrophococcus	2888809	G	1	0	1	0.00020
Faecalibacterium	216851	G	55	14	69	0.01393
Flavonifractor	946234	G	3	1	4	0.00081
Subdoligranulum	292632	G	2	0	2	0.00040
Ruthenibacterium	1905344	G	2	0	2	0.00040
Ruminococcus	1263	G	1	2	3	0.00061
Anaerotruncus	244127	G	1	0	1	0.00020
Solibaculum	2842531	G	1	0	1	0.00020
Hungatella	1649459	G	2	0	2	0.00040
Clostridium	1485	G	1	1	2	0.00040
Intestinibacter	1505657	G	2	1	3	0.00061
Filifactor	44259	G	2	0	2	0.00040
Bacillus	1386	G	182	176	358	0.07229
Geobacillus	129337	G	4	0	4	0.00081
Peribacillus	2675229	G	2	0	2	0.00040
Caldalkalibacillus	379065	G	1	0	1	0.00020
Staphylococcus	1279	G	2	17	19	0.00384
Planococcus	1372	G	1	0	1	0.00020
Sporosarcina	1569	G	1	0	1	0.00020
Paenibacillus	44249	G	2	0	2	0.00040
Alicyclobacillus	29330	G	2	0	2	0.00040
Lacticaseibacillus	2759736	G	6	0	6	0.00121
Streptococcus	1301	G	4	0	4	0.00081
Enterococcus	1350	G	1	0	1	0.00020
Aerococcus	1375	G	1	0	1	0.00020
Thomasclavelia	3025755	G	2	4	6	0.00121
Veillonella	29465	G	3	0	3	0.00061
Peptoniphilus	162289	G	1	0	1	0.00020
Mycobacterium	1763	G	69	17	86	0.01737
Mycolicibacter	1073531	G	1	0	1	0.00020
Corynebacterium	1716	G	1	0	1	0.00020
Rhodococcus	1827	G	1	0	1	0.00020
Frondihabitans	447237	G	7	0	7	0.00141
Salinibacterium	235888	G	4	16	20	0.00404
Curtobacterium	2034	G	1	0	1	0.00020
Microbacterium	33882	G	1	11	12	0.00242
Cryobacterium	69578	G	1	17	18	0.00363
Cellulomonas	1707	G	2	6	8	0.00162
Cutibacterium	1912216	G	12	1	13	0.00263
Nocardioides	1839	G	1	0	1	0.00020
Friedmanniella	53387	G	1	1	2	0.00040
Bifidobacterium	1678	G	3	0	3	0.00061
Varibaculum	184869	G	1	0	1	0.00020
Schaalia	2529408	G	1	0	1	0.00020
Streptomyces	1883	G	2	0	2	0.00040
Conexibacter	191494	G	4	6	10	0.00202
Paraconexibacter	2758920	G	1	2	3	0.00061
Nostoc	1177	G	4	0	4	0.00081
Gloeothece	28070	G	1	2	3	0.00061
Moorena	1155738	G	1	0	1	0.00020
Anthocerotibacter	2857076	G	2	1	3	0.00061
Geitlerinema	63132	G	1	6	7	0.00141
Allocoleopsis	2886347	G	1	5	6	0.00121
Chamaesiphon	217161	G	1	2	3	0.00061
Candidatus Phytoplasma	33926	G	1	0	1	0.00020
Mesomycoplasma	2923352	G	1	0	1	0.00020
Deinococcus	1298	G	1	0	1	0.00020
Fimbriimonas	1005038	G	1	0	1	0.00020
Phocaeicola	909656	G	140	28	168	0.03393
Bacteroides	816	G	32	2	34	0.00687
Acetobacteroides	1647173	G	33	0	33	0.00666
Alistipes	239759	G	1	0	1	0.00020
Prevotella	838	G	1	0	1	0.00020
Segatella	2974251	G	1	0	1	0.00020
Parabacteroides	375288	G	2	0	2	0.00040
Carboxylicivirga	1628153	G	1	0	1	0.00020
Mucilaginibacter	423349	G	66	33	99	0.01999
Pedobacter	84567	G	9	0	9	0.00182
Sphingobacterium	28453	G	1	2	3	0.00061
Spirosoma	107	G	86	2	88	0.01777
Dyadobacter	120831	G	5	0	5	0.00101
Hymenobacter	89966	G	1	0	1	0.00020
Aureibacter	1097443	G	1	0	1	0.00020
Bernardetia	1937972	G	1	0	1	0.00020
Flavobacterium	237	G	3	1	4	0.00081
Aureibaculum	2706948	G	1	1	2	0.00040
Cloacibacterium	501783	G	1	0	1	0.00020
Chitinophaga	79328	G	2	1	3	0.00061
Arachidicoccus	1769012	G	1	0	1	0.00020
