name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Nostoc	1177	G	1	3	4	0.00006
Cylindrospermopsis	77021	G	1	1	2	0.00003
Leptolyngbya	47251	G	10	2	12	0.00017
Anthocerotibacter	2857076	G	1	0	1	0.00001
Geitlerinema	63132	G	1	1	2	0.00003
Allomeiothermus	2935559	G	2	0	2	0.00003
Escherichia	561	G	19	9524	9543	0.13214
Klebsiella	570	G	11	1245	1256	0.01739
Salmonella	590	G	10	42187	42197	0.58428
Enterobacter	547	G	8	140	148	0.00205
Shigella	620	G	2	4265	4267	0.05908
Citrobacter	544	G	1	16	17	0.00024
Leclercia	83654	G	1	4	5	0.00007
Pantoea	53335	G	1	0	1	0.00001
Serratia	613	G	1	0	1	0.00001
Providencia	586	G	1	0	1	0.00001
Pseudomonas	286	G	30	143	173	0.00240
Acinetobacter	469	G	16	108	124	0.00172
Moraxella	475	G	14	3	17	0.00024
Psychrobacter	497	G	2	0	2	0.00003
Stenotrophomonas	40323	G	27	19	46	0.00064
Pseudoxanthomonas	83618	G	4	0	4	0.00006
Haemophilus	724	G	1	3	4	0.00006
Frederiksenia	1649317	G	1	3	4	0.00006
Otariodibacter	1249016	G	1	2	3	0.00004
Aggregatibacter	416916	G	1	0	1	0.00001
Halomonas	2745	G	9	0	9	0.00012
Salinicola	404432	G	1	0	1	0.00001
Marinomonas	28253	G	1	0	1	0.00001
Vibrio	662	G	3	0	3	0.00004
Grimontia	246861	G	3	0	3	0.00004
Photobacterium	657	G	1	0	1	0.00001
Rheinheimera	67575	G	1	0	1	0.00001
Spiribacter	1335745	G	1	0	1	0.00001
Flagellatimonas	2893022	G	1	0	1	0.00001
Candidatus Palibaumannia	198346	G	1	0	1	0.00001
Aquicella	254245	G	1	0	1	0.00001
Cupriavidus	106589	G	27	6	33	0.00046
Ralstonia	48736	G	2	6	8	0.00011
Acidovorax	12916	G	8	16	24	0.00033
Diaphorobacter	238749	G	2	0	2	0.00003
Caldimonas	196013	G	11	16	27	0.00037
Roseateles	93681	G	4	5	9	0.00012
Ideonella	36862	G	1	2	3	0.00004
Duodenibacillus	1980697	G	7	1	8	0.00011
Turicimonas	1918598	G	6	0	6	0.00008
Massilia	149698	G	2	3	5	0.00007
Eleftheria	1597779	G	1	2	3	0.00004
Simonsiella	71	G	2	0	2	0.00003
Neisseria	482	G	2	2	4	0.00006
Kingella	32257	G	2	0	2	0.00003
Aquella	2593687	G	1	0	1	0.00001
Vogesella	57739	G	1	1	2	0.00003
Thauera	33057	G	1	0	1	0.00001
Sphingomonas	13687	G	11	3	14	0.00019
Sphingobium	165695	G	3	1	4	0.00006
Sphingopyxis	165697	G	1	1	2	0.00003
Bradyrhizobium	374	G	4	0	4	0.00006
Methylobacterium	407	G	2	2	4	0.00006
Microvirga	186650	G	1	1	2	0.00003
Devosia	46913	G	2	0	2	0.00003
Rhizobium	379	G	1	0	1	0.00001
Brucella	234	G	1	5	6	0.00008
Asticcacaulis	76890	G	10	0	10	0.00014
Brevundimonas	41275	G	6	1	7	0.00010
Paracoccus	265	G	4	2	6	0.00008
Aliiroseovarius	1658781	G	2	0	2	0.00003
Gemmobacter	204456	G	1	1	2	0.00003
Pararoseomonas	2870712	G	1	0	1	0.00001
Roseomonas	125216	G	1	0	1	0.00001
Phocaeicola	909656	G	106	25	131	0.00181
Bacteroides	816	G	44	4	48	0.00066
Parabacteroides	375288	G	53	8	61	0.00084
Porphyromonas	836	G	10	0	10	0.00014
Prevotella	838	G	7	0	7	0.00010
Segatella	2974251	G	2	0	2	0.00003
Alistipes	239759	G	6	0	6	0.00008
Acetobacteroides	1647173	G	2	0	2	0.00003
Odoribacter	283168	G	6	0	6	0.00008
Hymenobacter	89966	G	4	0	4	0.00006
Flammeovirga	59739	G	1	0	1	0.00001
Cytophaga	978	G	1	0	1	0.00001
Marivirga	869806	G	1	0	1	0.00001
Cloacibacterium	501783	G	1	2	3	0.00004
Ferruginibacter	1004303	G	2	1	3	0.00004
Aurantibacillus	3088889	G	1	0	1	0.00001
Caulifigura	2795778	G	1	1	2	0.00003
Lentisphaera	256846	G	1	0	1	0.00001
Fusobacterium	848	G	3	0	3	0.00004
Leptotrichia	32067	G	1	0	1	0.00001
Leptospirillum	179	G	2	0	2	0.00003
Paludibaculum	1649475	G	1	0	1	0.00001
Geothrix	44675	G	1	0	1	0.00001
Desulfovibrio	872	G	1	0	1	0.00001
Dethiosulfovibrio	47054	G	1	0	1	0.00001
Spirochaeta	146	G	1	0	1	0.00001
Flexistipes	2351	G	1	0	1	0.00001
Bdellovibrio	958	G	1	0	1	0.00001
Methanocaldococcus	196118	G	505	430	935	0.01295
Methanothermobacter	145260	G	2	0	2	0.00003
Homo	9605	G	15	1	16	0.00022
