name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Mediterraneibacter	2316020	G	58	7	65	0.00090
Agathobacter	1766253	G	45	6	51	0.00071
Blautia	572511	G	38	5	43	0.00060
Roseburia	841	G	34	150	184	0.00255
Anaerobutyricum	2569097	G	29	3	32	0.00044
Anaerostipes	207244	G	28	5	33	0.00046
Dorea	189330	G	14	2	16	0.00022
Coprococcus	33042	G	12	2	14	0.00019
Lachnospira	28050	G	7	0	7	0.00010
Anaerocolumna	1843210	G	4	0	4	0.00006
Enterocloster	2719313	G	4	0	4	0.00006
Herbinix	1663717	G	4	0	4	0.00006
Sellimonas	1769710	G	3	0	3	0.00004
Butyrivibrio	830	G	3	0	3	0.00004
Lachnoclostridium	1506553	G	3	0	3	0.00004
Simiaoa	2944193	G	3	0	3	0.00004
Lacrimispora	2719231	G	2	0	2	0.00003
Stomatobaculum	1213720	G	1	0	1	0.00001
Marvinbryantia	248744	G	1	0	1	0.00001
Novisyntrophococcus	2888809	G	1	0	1	0.00001
Wansuia	2944198	G	1	0	1	0.00001
Cellulosilyticum	698776	G	1	0	1	0.00001
Faecalibacterium	216851	G	235	86	321	0.00444
Vescimonas	2892396	G	16	16	32	0.00044
Subdoligranulum	292632	G	10	0	10	0.00014
Lawsonibacter	2172004	G	4	4	8	0.00011
Anaerotruncus	244127	G	2	3	5	0.00007
Caproicibacterium	2834348	G	2	1	3	0.00004
Acetivibrio	35829	G	1	0	1	0.00001
Flavonifractor	946234	G	1	0	1	0.00001
Clostridium	1485	G	12	30	42	0.00058
Caloramator	44258	G	1	0	1	0.00001
Hungatella	1649459	G	1	0	1	0.00001
Eubacterium	1730	G	2	0	2	0.00003
Heliomicrobium	2831443	G	1	0	1	0.00001
Intestinibacillus	1928820	G	1	0	1	0.00001
Caproicibacter	2576755	G	1	0	1	0.00001
Aristaeella	3046369	G	1	0	1	0.00001
Desulfosporosinus	79206	G	1	0	1	0.00001
Intestinimonas	1392389	G	1	0	1	0.00001
Candidatus Formimonas	2840454	G	1	0	1	0.00001
Intestinibacter	1505657	G	3	0	3	0.00004
Romboutsia	1501226	G	2	0	2	0.00003
Peptostreptococcus	1257	G	1	0	1	0.00001
Clostridioides	1870884	G	1	1232	1233	0.01707
Natranaerofaba	2807497	G	1	0	1	0.00001
Bacillus	1386	G	278	8682	8960	0.12407
Cytobacillus	2675230	G	3	0	3	0.00004
Anoxybacillus	150247	G	3	0	3	0.00004
Rossellomorea	2837508	G	3	0	3	0.00004
Priestia	2800373	G	2	0	2	0.00003
Peribacillus	2675229	G	1	0	1	0.00001
Mesobacillus	2675231	G	1	0	1	0.00001
Neobacillus	2675232	G	1	0	1	0.00001
Metabacillus	2675233	G	1	0	1	0.00001
Heyndrickxia	2837504	G	1	0	1	0.00001
Staphylococcus	1279	G	62	877	939	0.01300
Mammaliicoccus	2803850	G	1	0	1	0.00001
Paenibacillus	44249	G	9	0	9	0.00012
Exiguobacterium	33986	G	1	0	1	0.00001
Streptococcus	1301	G	47	10	57	0.00079
Lactobacillus	1578	G	3	0	3	0.00004
Lactiplantibacillus	2767842	G	1	2	3	0.00004
Latilactobacillus	2767885	G	1	0	1	0.00001
Enterococcus	1350	G	2	11	13	0.00018
Dolosigranulum	29393	G	1	0	1	0.00001
Granulicatella	117563	G	1	0	1	0.00001
Faecalibacillus	2678885	G	23	4	27	0.00037
Thomasclavelia	3025755	G	1	0	1	0.00001
Amedibacterium	2749267	G	3	0	3	0.00004
Anaerococcus	165779	G	12	3	15	0.00021
Finegoldia	150022	G	4	0	4	0.00006
Veillonella	29465	G	5	0	5	0.00007
Phascolarctobacterium	33024	G	3	2	5	0.00007
Sporomusa	2375	G	2	0	2	0.00003
Selenomonas	970	G	1	0	1	0.00001
Cutibacterium	1912216	G	317	64	381	0.00528
Propionibacterium	1743	G	2	1	3	0.00004
Arachnia	2801844	G	1	0	1	0.00001
Nocardioides	1839	G	3	0	3	0.00004
Aeromicrobium	2040	G	1	0	1	0.00001
Micrococcus	1269	G	15	6	21	0.00029
Kocuria	57493	G	11	6	17	0.00024
Rothia	32207	G	7	1	8	0.00011
Dermacoccus	57495	G	10	8	18	0.00025
Agromyces	33877	G	2	0	2	0.00003
Microbacterium	33882	G	2	1	3	0.00004
Rhodoluna	529883	G	1	0	1	0.00001
Dermabacter	36739	G	1	2	3	0.00004
Brachybacterium	43668	G	1	0	1	0.00001
Cellulosimicrobium	157920	G	1	0	1	0.00001
Brevibacterium	1696	G	1	0	1	0.00001
Janibacter	53457	G	1	0	1	0.00001
Corynebacterium	1716	G	38	10	48	0.00066
Mycobacterium	1763	G	4	1	5	0.00007
Mycobacteroides	670516	G	1	0	1	0.00001
Mycolicibacterium	1866885	G	1	0	1	0.00001
Lawsonella	1847725	G	6	0	6	0.00008
Rhodococcus	1827	G	2	0	2	0.00003
Gordonia	2053	G	2	0	2	0.00003
Dietzia	37914	G	2	0	2	0.00003
Actinomyces	1654	G	19	4	23	0.00032
Actinotignum	1653174	G	1	0	1	0.00001
Schaalia	2529408	G	1	0	1	0.00001
Pseudonocardia	1847	G	3	0	3	0.00004
Actinomycetospora	402649	G	1	0	1	0.00001
Actinosynnema	40566	G	1	2	3	0.00004
Bifidobacterium	1678	G	6	12	18	0.00025
Streptomyces	1883	G	3	2	5	0.00007
Nonomuraea	83681	G	1	0	1	0.00001
Thermobifida	83677	G	1	0	1	0.00001
Kineococcus	33981	G	1	0	1	0.00001
Olsenella	133925	G	1	0	1	0.00001
Slackia	84108	G	1	0	1	0.00001
Capillimicrobium	2976759	G	1	0	1	0.00001
Oscillatoria	1158	G	3	6	9	0.00012
Moorena	1155738	G	1	0	1	0.00001
Gloeothece	28070	G	2	0	2	0.00003
Brasilonema	383614	G	3	4	7	0.00010
