name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Calothrix	1186	G	33	247	280	0.01497
Nostoc	1177	G	26	24	50	0.00267
Moorena	1155738	G	37	0	37	0.00198
Oscillatoria	1158	G	15	51	66	0.00353
Limnospira	2596745	G	40	733	773	0.04133
Gloeocapsopsis	693222	G	1	60	61	0.00326
Acaryochloris	155977	G	44	0	44	0.00235
Nodosilinea	1120752	G	4	14	18	0.00096
Leptodesmis	2664261	G	1	4	5	0.00027
Chamaesiphon	217161	G	1	1	2	0.00011
Cutibacterium	1912216	G	70	44	114	0.00610
Nocardioides	1839	G	14	24	38	0.00203
Streptomyces	1883	G	23	38	61	0.00326
Corynebacterium	1716	G	14	5	19	0.00102
Micrococcus	1269	G	6	0	6	0.00032
Rothia	32207	G	2	2	4	0.00021
Kocuria	57493	G	1	2	3	0.00016
Brevibacterium	1696	G	1	1	2	0.00011
Actinomyces	1654	G	1	0	1	0.00005
Parascardovia	196082	G	1	1	2	0.00011
Lancefieldella	2767353	G	2	0	2	0.00011
Bacillus	1386	G	33	11729	11762	0.62888
Peribacillus	2675229	G	1	0	1	0.00005
Staphylococcus	1279	G	1	19	20	0.00107
Jeotgalicoccus	227979	G	1	0	1	0.00005
Brochothrix	2755	G	1	2	3	0.00016
Gemella	1378	G	1	0	1	0.00005
Streptococcus	1301	G	15	0	15	0.00080
Lactobacillus	1578	G	1	0	1	0.00005
Leuconostoc	1243	G	1	2	3	0.00016
Dolosigranulum	29393	G	2	3	5	0.00027
Faecalibacterium	216851	G	11	0	11	0.00059
Acetivibrio	35829	G	1	2	3	0.00016
Mediterraneibacter	2316020	G	2	5	7	0.00037
Blautia	572511	G	1	44	45	0.00241
Anaerococcus	165779	G	3	4	7	0.00037
Sedimentibacter	190972	G	2	0	2	0.00011
Deinococcus	1298	G	3	3	6	0.00032
Truepera	332248	G	1	1	2	0.00011
Spiroplasma	2132	G	2	0	2	0.00011
Enterobacter	547	G	3	2496	2499	0.13361
Escherichia	561	G	1	0	1	0.00005
Citrobacter	544	G	1	428	429	0.02294
Actinobacillus	713	G	3	4	7	0.00037
Haemophilus	724	G	2	0	2	0.00011
Pasteurella	745	G	1	576	577	0.03085
Pseudomonas	286	G	3	181	184	0.00984
Legionella	445	G	3	0	3	0.00016
Stenotrophomonas	40323	G	1	11	12	0.00064
Tahibacter	1453544	G	1	0	1	0.00005
Acinetobacter	469	G	2	0	2	0.00011
Rheinheimera	67575	G	1	0	1	0.00005
Vibrio	662	G	1	0	1	0.00005
Sphingomonas	13687	G	11	0	11	0.00059
Sphingorhabdus	1434046	G	1	24	25	0.00134
Paracoccus	265	G	7	0	7	0.00037
Aliiroseovarius	1658781	G	1	15	16	0.00086
Bosea	85413	G	2	0	2	0.00011
Aquabacter	45402	G	2	12	14	0.00075
Magnetospirillum	13134	G	1	7	8	0.00043
Candidatus Endolissoclinum	1263978	G	1	0	1	0.00005
Asticcacaulis	76890	G	2	3	5	0.00027
Cupriavidus	106589	G	1	0	1	0.00005
Rubrivivax	28067	G	2	8	10	0.00053
Achromobacter	222	G	1	6	7	0.00037
Alistipes	239759	G	1	0	1	0.00005
Hymenobacter	89966	G	1	0	1	0.00005
Pedobacter	84567	G	1	1	2	0.00011
Salinibacter	146918	G	1	0	1	0.00005
Arcobacter	28196	G	1	2	3	0.00016
Sulfurospirillum	57665	G	1	0	1	0.00005
Fusobacterium	848	G	1	0	1	0.00005
Leptotrichia	32067	G	1	0	1	0.00005
Limnoglobus	2731450	G	1	0	1	0.00005
Methanocaldococcus	196118	G	250	1089	1339	0.07159
Methanotorris	196119	G	1	0	1	0.00005
Homo	9605	G	4	8	12	0.00064
Mastadenovirus	10509	G	1	2	3	0.00016
