name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus	1279	G	311	3033	3344	0.04962
Mammaliicoccus	2803850	G	2	0	2	0.00003
Bacillus	1386	G	244	38221	38465	0.57077
Cytobacillus	2675230	G	3	0	3	0.00004
Parageobacillus	1906945	G	2	0	2	0.00003
Priestia	2800373	G	2	0	2	0.00003
Neobacillus	2675232	G	1	0	1	0.00001
Paenibacillus	44249	G	9	0	9	0.00013
Gemella	1378	G	8	0	8	0.00012
Streptococcus	1301	G	42	4	46	0.00068
Latilactobacillus	2767885	G	2	1	3	0.00004
Faecalibacterium	216851	G	3	0	3	0.00004
Filifactor	44259	G	3	3	6	0.00009
Peptoniphilus	162289	G	2	3	5	0.00007
Anaerococcus	165779	G	2	1	3	0.00004
Helcococcus	31983	G	1	0	1	0.00001
Finegoldia	150022	G	1	0	1	0.00001
Parvimonas	543311	G	1	0	1	0.00001
Veillonella	29465	G	3	0	3	0.00004
Selenomonas	970	G	1	0	1	0.00001
Phascolarctobacterium	33024	G	1	1	2	0.00003
Cutibacterium	1912216	G	262	74	336	0.00499
Nocardioides	1839	G	4	4	8	0.00012
Corynebacterium	1716	G	33	13	46	0.00068
Mycobacterium	1763	G	18	22	40	0.00059
Mycolicibacterium	1866885	G	2	0	2	0.00003
Mycobacteroides	670516	G	1	0	1	0.00001
Lawsonella	1847725	G	5	1	6	0.00009
Gordonia	2053	G	3	2	5	0.00007
Dietzia	37914	G	2	2	4	0.00006
Micrococcus	1269	G	11	13	24	0.00036
Kocuria	57493	G	5	2	7	0.00010
Rothia	32207	G	2	0	2	0.00003
Microbacterium	33882	G	4	1	5	0.00007
Dermabacter	36739	G	2	0	2	0.00003
Brachybacterium	43668	G	2	0	2	0.00003
Kytococcus	57499	G	2	1	3	0.00004
Janibacter	53457	G	2	1	3	0.00004
Pseudonocardia	1847	G	9	0	9	0.00013
Alloactinosynnema	674734	G	2	0	2	0.00003
Saccharomonospora	1851	G	1	0	1	0.00001
