name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptomyces	1883	G	5	4	9	0.00013
Actinomyces	1654	G	3	0	3	0.00004
Schaalia	2529408	G	1	0	1	0.00001
Nonomuraea	83681	G	1	0	1	0.00001
Blastococcus	38501	G	1	0	1	0.00001
Conexibacter	191494	G	2	0	2	0.00003
Lancefieldella	2767353	G	1	0	1	0.00001
Oscillatoria	1158	G	4	2	6	0.00009
Moorena	1155738	G	4	0	4	0.00006
Koinonema	2023214	G	1	1	2	0.00003
Gloeothece	28070	G	1	0	1	0.00001
Dactylococcopsis	13034	G	1	0	1	0.00001
Allomeiothermus	2935559	G	1	0	1	0.00001
Deinococcus	1298	G	1	0	1	0.00001
Escherichia	561	G	22	18029	18051	0.26785
Klebsiella	570	G	4	2329	2333	0.03462
Enterobacter	547	G	3	461	464	0.00689
Pectobacterium	122277	G	1	2	3	0.00004
Serratia	613	G	1	3	4	0.00006
Morganella	581	G	1	202	203	0.00301
Providencia	586	G	1	0	1	0.00001
Erwinia	551	G	1	2	3	0.00004
Pseudomonas	286	G	25	81	106	0.00157
Denitrificimonas	2901261	G	4	30	34	0.00050
Permianibacter	1649479	G	3	0	3	0.00004
Thiopseudomonas	1654787	G	1	1	2	0.00003
Moraxella	475	G	6	1	7	0.00010
Acinetobacter	469	G	5	5	10	0.00015
Psychrobacter	497	G	2	0	2	0.00003
Haemophilus	724	G	10	26	36	0.00053
Solimonas	413435	G	3	0	3	0.00004
Flagellatimonas	2893022	G	2	0	2	0.00003
Halomonas	2745	G	3	2	5	0.00007
Salinicola	404432	G	1	0	1	0.00001
Shewanella	22	G	3	24	27	0.00040
Stenotrophomonas	40323	G	1	4	5	0.00007
Legionella	445	G	1	0	1	0.00001
Vibrio	662	G	1	1	2	0.00003
Methylobacterium	407	G	2	1	3	0.00004
Methylorubrum	2282523	G	1	4	5	0.00007
Aurantimonas	182269	G	1	1	2	0.00003
Aureimonas	414371	G	1	0	1	0.00001
Jiella	1775688	G	1	0	1	0.00001
Bosea	85413	G	3	0	3	0.00004
Mesorhizobium	68287	G	2	0	2	0.00003
Pleomorphomonas	261933	G	1	1	2	0.00003
Paracoccus	265	G	7	2	9	0.00013
Aliiroseovarius	1658781	G	3	2	5	0.00007
Rhodobacter	1060	G	1	3	4	0.00006
Asticcacaulis	76890	G	7	2	9	0.00013
Brevundimonas	41275	G	1	0	1	0.00001
Sphingomonas	13687	G	2	3	5	0.00007
Novosphingobium	165696	G	1	0	1	0.00001
Sphingopyxis	165697	G	1	0	1	0.00001
Pararoseomonas	2870712	G	1	1	2	0.00003
Azospirillum	191	G	1	1	2	0.00003
Rickettsia	780	G	1	0	1	0.00001
Cupriavidus	106589	G	5	0	5	0.00007
Burkholderia	32008	G	1	9	10	0.00015
Paraburkholderia	1822464	G	1	3	4	0.00006
Acidovorax	12916	G	1	14	15	0.00022
Massilia	149698	G	2	4	6	0.00009
Caldimonas	196013	G	3	15	18	0.00027
Alcaligenes	507	G	1	6	7	0.00010
Conchiformibius	334107	G	2	1	3	0.00004
Wielerella	2944815	G	1	1	2	0.00003
Vogesella	57739	G	1	0	1	0.00001
Chitinolyticbacter	1055692	G	1	0	1	0.00001
Prevotella	838	G	3	1	4	0.00006
Segatella	2974251	G	3	0	3	0.00004
Porphyromonas	836	G	2	0	2	0.00003
Hymenobacter	89966	G	4	0	4	0.00006
Pontibacter	323449	G	1	0	1	0.00001
Flavobacterium	237	G	1	0	1	0.00001
Sediminibacterium	504481	G	2	0	2	0.00003
Leptotrichia	32067	G	4	1	5	0.00007
Candidatus Velamenicoccus	2789201	G	1	0	1	0.00001
Methanocaldococcus	196118	G	670	2752	3422	0.05078
Homo	9605	G	9	3	12	0.00018
