name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Lichenicoccus	2781897	G	118	360	478	0.00890
Acidisoma	512381	G	114	153	267	0.00497
Acidibrevibacterium	2603324	G	30	87	117	0.00218
Rhodovastum	504465	G	2	4	6	0.00011
Lichenicola	2804525	G	1	1	2	0.00004
Defluviicoccus	111830	G	154	152	306	0.00570
Skermanella	204447	G	68	185	253	0.00471
Elioraea	457933	G	50	73	123	0.00229
Aliiroseovarius	1658781	G	47	15	62	0.00115
Paracoccus	265	G	4	3	7	0.00013
Silicimonas	1955420	G	1	0	1	0.00002
Tistrella	171436	G	46	38	84	0.00156
Liberibacter	34019	G	2	0	2	0.00004
Rhizobium	379	G	1	1	2	0.00004
Bradyrhizobium	374	G	2	1	3	0.00006
Methylobacterium	407	G	2	1	3	0.00006
Brucella	234	G	2	0	2	0.00004
Roseibium	150830	G	1	2	3	0.00006
Anderseniella	444432	G	1	0	1	0.00002
Sphingomonas	13687	G	5	15	20	0.00037
Asticcacaulis	76890	G	6	1	7	0.00013
Brevundimonas	41275	G	4	0	4	0.00007
Caulobacter	75	G	1	0	1	0.00002
Wolbachia	953	G	1	0	1	0.00002
Escherichia	561	G	11	35649	35660	0.66431
Salmonella	590	G	5	12015	12020	0.22392
Klebsiella	570	G	4	207	211	0.00393
Citrobacter	544	G	3	1	4	0.00007
Enterobacter	547	G	2	8	10	0.00019
Shigella	620	G	1	305	306	0.00570
Candidatus Blochmanniella	203804	G	1	0	1	0.00002
Xenorhabdus	626	G	2	0	2	0.00004
Morganella	581	G	1	0	1	0.00002
Pseudomonas	286	G	63	85	148	0.00276
Acinetobacter	469	G	17	13	30	0.00056
Moraxella	475	G	14	2	16	0.00030
Psychrobacter	497	G	4	0	4	0.00007
Halomonas	2745	G	3	1	4	0.00007
Candidatus Carsonella	114185	G	1	0	1	0.00002
Marinomonas	28253	G	2	0	2	0.00004
Stenotrophomonas	40323	G	3	1	4	0.00007
Xanthomonas	338	G	2	0	2	0.00004
Frederiksenia	1649317	G	2	1	3	0.00006
Haemophilus	724	G	1	0	1	0.00002
Photobacterium	657	G	2	0	2	0.00004
Vibrio	662	G	2	1	3	0.00006
Aquicella	254245	G	1	0	1	0.00002
Cupriavidus	106589	G	6	2	8	0.00015
Ralstonia	48736	G	4	13	17	0.00032
Polynucleobacter	44013	G	1	0	1	0.00002
Acidovorax	12916	G	2	0	2	0.00004
Variovorax	34072	G	2	13	15	0.00028
Rhodoferax	28065	G	1	2	3	0.00006
Massilia	149698	G	1	12	13	0.00024
Oligella	90243	G	1	1	2	0.00004
Caldimonas	196013	G	1	0	1	0.00002
Usitatibacter	2803845	G	5	4	9	0.00017
Eikenella	538	G	1	1	2	0.00004
Cutibacterium	1912216	G	189	49	238	0.00443
Arachnia	2801844	G	3	1	4	0.00007
Propionibacterium	1743	G	2	0	2	0.00004
Microlunatus	29404	G	2	2	4	0.00007
Nocardioides	1839	G	6	4	10	0.00019
Kocuria	57493	G	15	15	30	0.00056
Micrococcus	1269	G	12	0	12	0.00022
Rothia	32207	G	7	1	8	0.00015
Arthrobacter	1663	G	2	1	3	0.00006
Mycetocola	76634	G	2	4	6	0.00011
Dermacoccus	57495	G	6	7	13	0.00024
Pseudactinotalea	1926259	G	1	1	2	0.00004
Serinicoccus	265976	G	1	1	2	0.00004
Brevibacterium	1696	G	1	1	2	0.00004
Brachybacterium	43668	G	1	0	1	0.00002
Pedococcus	2805645	G	1	1	2	0.00004
Corynebacterium	1716	G	31	9	40	0.00075
Mycobacterium	1763	G	5	16	21	0.00039
Mycolicibacterium	1866885	G	1	1	2	0.00004
Lawsonella	1847725	G	5	2	7	0.00013
Gordonia	2053	G	1	1	2	0.00004
Actinomyces	1654	G	8	3	11	0.00020
Schaalia	2529408	G	5	0	5	0.00009
Scardovia	196081	G	2	1	3	0.00006
Bifidobacterium	1678	G	1	0	1	0.00002
Pseudonocardia	1847	G	1	0	1	0.00002
Amycolatopsis	1813	G	1	1	2	0.00004
Streptomyces	1883	G	2	1	3	0.00006
Nakamurella	53460	G	2	1	3	0.00006
Fannyhessea	2767327	G	7	4	11	0.00020
Conexibacter	191494	G	2	2	4	0.00007
Bacillus	1386	G	109	1299	1408	0.02623
Anoxybacillus	150247	G	2	0	2	0.00004
Neobacillus	2675232	G	1	0	1	0.00002
Fervidibacillus	3033930	G	1	0	1	0.00002
Staphylococcus	1279	G	28	54	82	0.00153
Gemella	1378	G	4	0	4	0.00007
Paenibacillus	44249	G	2	0	2	0.00004
Tumebacillus	432330	G	1	0	1	0.00002
Streptococcus	1301	G	38	8	46	0.00086
Lactobacillus	1578	G	2	1	3	0.00006
Weissella	46255	G	1	0	1	0.00002
Limosilactobacillus	2742598	G	1	0	1	0.00002
Aerococcus	1375	G	3	0	3	0.00006
Enterococcus	1350	G	1	0	1	0.00002
Vagococcus	2737	G	1	0	1	0.00002
Carnobacterium	2747	G	1	0	1	0.00002
Blautia	572511	G	55	12	67	0.00125
Anaerostipes	207244	G	10	1	11	0.00020
Mediterraneibacter	2316020	G	2	1	3	0.00006
Anaerocolumna	1843210	G	1	0	1	0.00002
Dorea	189330	G	1	0	1	0.00002
Agathobacter	1766253	G	1	0	1	0.00002
Lachnoanaerobaculum	1164882	G	1	0	1	0.00002
Stomatobaculum	1213720	G	1	0	1	0.00002
Faecalibacterium	216851	G	17	5	22	0.00041
Subdoligranulum	292632	G	12	4	16	0.00030
Vescimonas	2892396	G	2	0	2	0.00004
Ruthenibacterium	1905344	G	2	2	4	0.00007
Ruminococcus	1263	G	1	0	1	0.00002
Flavonifractor	946234	G	1	1	2	0.00004
Thermoclostridium	2304691	G	1	1	2	0.00004
Intestinibacillus	1928820	G	2	0	2	0.00004
Aristaeella	3046369	G	1	0	1	0.00002
Moorella	44260	G	1	0	1	0.00002
Clostridioides	1870884	G	1	563	564	0.01051
Veillonella	29465	G	10	1	11	0.00020
Finegoldia	150022	G	3	0	3	0.00006
Anaerococcus	165779	G	3	0	3	0.00006
Peptoniphilus	162289	G	1	0	1	0.00002
Ezakiella	1582879	G	1	0	1	0.00002
Truepera	332248	G	22	1	23	0.00043
Deinococcus	1298	G	3	0	3	0.00006
Nostoc	1177	G	1	0	1	0.00002
Tolypothrix	111782	G	1	0	1	0.00002
Limnospira	2596745	G	2	4	6	0.00011
Gloeothece	28070	G	1	0	1	0.00002
Leptolyngbya	47251	G	2	2	4	0.00007
Acaryochloris	155977	G	1	0	1	0.00002
Geitlerinema	63132	G	1	0	1	0.00002
Tepidiforma	2682228	G	1	0	1	0.00002
Bacteroides	816	G	40	5	45	0.00084
Phocaeicola	909656	G	28	11	39	0.00073
Alistipes	239759	G	8	0	8	0.00015
Prevotella	838	G	5	0	5	0.00009
Pseudoprevotella	2884814	G	1	0	1	0.00002
Odoribacter	283168	G	4	0	4	0.00007
Proteiniphilum	294702	G	1	0	1	0.00002
Parabacteroides	375288	G	1	0	1	0.00002
Flavisolibacter	398041	G	16	18	34	0.00063
Pseudocnuella	2812019	G	1	2	3	0.00006
Cloacibacterium	501783	G	3	2	5	0.00009
Chryseobacterium	59732	G	2	2	4	0.00007
Flavobacterium	237	G	2	0	2	0.00004
Algibacter	261827	G	2	1	3	0.00006
Blattabacterium	34098	G	1	0	1	0.00002
Hymenobacter	89966	G	1	0	1	0.00002
Aureibacter	1097443	G	1	0	1	0.00002
Fusobacterium	848	G	4	0	4	0.00007
Leptotrichia	32067	G	2	0	2	0.00004
Helicobacter	209	G	1	0	1	0.00002
Sulfurimonas	202746	G	1	0	1	0.00002
Arcobacter	28196	G	1	0	1	0.00002
Maridesulfovibrio	2794998	G	2	0	2	0.00004
Thermosulfuriphilus	2033601	G	1	0	1	0.00002
Borreliella	64895	G	1	0	1	0.00002
Treponema	157	G	1	0	1	0.00002
Luteolibacter	518753	G	1	0	1	0.00002
Sulfidibacter	2915177	G	2	0	2	0.00004
Methanocaldococcus	196118	G	339	54	393	0.00732
Natrononativus	3065677	G	1	0	1	0.00002
Homo	9605	G	15	1	16	0.00030
